,Navn,Antal
0,Kontor og økonomi,65079
1,Social og sundhed,61013
2,Øvrige stillinger,57980
3,Handel og service,51741
4,Industri og håndværk,49820
5,Undervisning,48076
6,Ledelse og personale,46584
7,Ingeniør og teknik,31347
8,Salg og kommunikation,27245
9,Informationsteknologi,25738
