,Navn,Antal
0,Studiejob og fritidsjob,20030
1,Salg,13544
2,Pædagog,11446
3,Økonomi og regnskab,11106
4,Sygeplejerske og jordemoder,10952
5,Lærer,10613
6,"Hotel, restaurant og køkken",9337
7,Pleje og omsorg,9182
8,Ledelse,9072
9,Kontor,8624
10,Projektledelse,8500
11,Detailhandel,8194
12,Systemudvikling og programmering,8044
13,Studiepraktik,7644
14,Maskinteknik,5453
15,Læge,5391
16,Frivilligt arbejde,5232
17,Elevpladser,4968
18,Bygge- og anlægsteknik,4647
19,Kemi og bioteknik,4498
20,Produktions- og procesteknik,4447
21,Offentlig administration,4390
22,IT-drift og support,4174
23,Rengøring,4094
24,Marketing,3880
25,Finans og forsikring,3671
26,Elektriker,3614
27,Socialrådgivning,3512
28,Medicinal og levnedsmiddel,3479
29,Forskning,3315
30,Institutions- og skoleledelse,2935
31,Mekanik og auto,2864
32,Terapi og genoptræning,2857
33,Transport,2836
34,Personale og HR,2735
35,Logistik og spedition,2646
36,Elektroteknik,2593
37,Kommunikation og journalistik,2347
38,Lægesekretær,2293
39,Ledelse inden for ingeniør og teknik,2280
40,Jura,2171
41,Økonomi- og virksomhedssystemer,2164
42,Industriel produktion,2066
43,Lager,2030
44,Indkøb,1983
45,Voksenuddannelse,1936
46,Detailledelse,1914
47,IT-ledelse,1867
48,Sekretær og reception,1773
49,Bygge og anlæg,1564
50,Blik og rør,1525
51,Internet og WWW,1471
52,Telemarketing,1453
53,Øvrige,1426
54,Tømrer og snedker,1413
55,Jern og metal,1403
56,Nærings- og nydelsesmiddel,1393
57,Psykologi og psykiatri,1364
58,Kontorelev,1362
59,"Landbrug, skov og fiskeri",1333
60,Tandlæge og klinikpersonale,1106
61,Ejendomsservice,1106
62,Kultur og kirke,1087
63,Salgsledelse,1048
64,Ejendomsmægler,970
65,Akademisk og politisk arbejde,935
66,Økonomiledelse,839
67,Sikkerhed,794
68,Oversættelse og sprog,769
69,Grafisk,713
70,Freelancekonsulent,664
71,Frisør og personlig pleje,594
72,Maling og overfladebehandling,513
73,Database,498
74,Bibliotek,467
75,Forsvar og efterretning,444
76,Teknisk sundhedsarbejde,382
77,Design og formgivning,380
78,Topledelse og bestyrelse,372
79,Træ- og møbelindustri,348
80,Børnepasning,344
81,Service,310
82,Kontor- og økonomikurser for ledige,294
83,Tele- og datakommunikation,257
84,HR- og ledelseskurser for ledige,237
85,IT-kurser for ledige,229
86,Tekstil og kunsthåndværk,177
87,Selvstændig virksomhedsdrift,171
88,Øvrige kurser for ledige,152
89,Salgs- og kommunikationskurser for ledige,142
90,Bud og udbringning,90
91,Virksomhedsudvikling,23
