,Navn,Antal
0,Studiejob og fritidsjob,15274
1,Pædagog,10067
2,Salg,9946
3,"Hotel, restaurant og køkken",8252
4,Økonomi og regnskab,8221
5,Detailhandel,7998
6,Kontor,6490
7,Ledelse,6050
8,Pleje og omsorg,6014
9,Projektledelse,4779
10,Systemudvikling og programmering,4725
11,Rengøring,4709
12,Elevpladser,4684
13,Sygeplejerske og jordemoder,4353
14,Lærer,4084
15,Maskinteknik,3790
16,Studiepraktik,3728
17,Læge,3526
18,Finans og forsikring,2809
19,IT-drift og support,2795
20,Socialrådgivning,2701
21,Bygge- og anlægsteknik,2628
22,Marketing,2593
23,Produktions- og procesteknik,2590
24,Kemi og bioteknik,2533
25,Elektroteknik,1958
26,Institutions- og skoleledelse,1925
27,Sekretær og reception,1922
28,Personale og HR,1826
29,Detailledelse,1700
30,Offentlig administration,1646
31,Indkøb,1620
32,Transport,1578
33,Jura,1571
34,Terapi og genoptræning,1558
35,Medicinal og levnedsmiddel,1552
36,Logistik og spedition,1549
37,Mekanik og auto,1521
38,Ledelse inden for ingeniør og teknik,1450
39,Voksenuddannelse,1424
40,Lager,1412
41,Elektriker,1412
42,Forskning,1350
43,Øvrige,1340
44,Kommunikation og journalistik,1319
45,Økonomi- og virksomhedssystemer,1301
46,Lægesekretær,1269
47,Industriel produktion,1169
48,Frivilligt arbejde,1135
49,Telemarketing,1089
50,Nærings- og nydelsesmiddel,1062
51,"Landbrug, skov og fiskeri",1057
52,Kontorelev,1018
53,Bygge og anlæg,843
54,IT-ledelse,838
55,Salgsledelse,820
56,Ejendomsservice,755
57,Internet og WWW,752
58,Økonomiledelse,744
59,Psykologi og psykiatri,640
60,Kultur og kirke,633
61,Tømrer og snedker,621
62,Blik og rør,599
63,Tandlæge og klinikpersonale,580
64,Børnepasning,556
65,Grafisk,555
66,Jern og metal,543
67,Freelancekonsulent,506
68,Frisør og personlig pleje,503
69,Ejendomsmægler,454
70,Sikkerhed,442
71,Oversættelse og sprog,439
72,Maling og overfladebehandling,382
73,Bibliotek,371
74,Design og formgivning,305
75,Topledelse og bestyrelse,294
76,Database,236
77,Tele- og datakommunikation,219
78,Tekstil og kunsthåndværk,218
79,Service,215
80,Teknisk sundhedsarbejde,211
81,Akademisk og politisk arbejde,211
82,Selvstændig virksomhedsdrift,170
83,Træ- og møbelindustri,84
84,Forsvar og efterretning,64
85,Bud og udbringning,33
86,Virksomhedsudvikling,5
87,HR- og ledelseskurser for ledige,3
88,Ingeniør og teknik (nedlagt),2
