,Navn,Antal
0,Studiejob og fritidsjob,19851
1,Salg,11418
2,Pædagog,10888
3,Sygeplejerske og jordemoder,9761
4,Økonomi og regnskab,9575
5,Detailhandel,8358
6,"Hotel, restaurant og køkken",8228
7,Systemudvikling og programmering,8095
8,Pleje og omsorg,8027
9,Ledelse,7980
10,Kontor,6929
11,Projektledelse,6762
12,Lærer,6297
13,Frivilligt arbejde,5459
14,Maskinteknik,5270
15,Studiepraktik,5245
16,Læge,5186
17,Elevpladser,4791
18,IT-drift og support,4540
19,Rengøring,4156
20,Bygge- og anlægsteknik,3991
21,Kemi og bioteknik,3980
22,Offentlig administration,3585
23,Marketing,3452
24,Produktions- og procesteknik,3436
25,Finans og forsikring,3158
26,Elektriker,3104
27,Transport,2760
28,Medicinal og levnedsmiddel,2677
29,Socialrådgivning,2642
30,Mekanik og auto,2464
31,Elektroteknik,2372
32,Personale og HR,2295
33,Institutions- og skoleledelse,2277
34,Logistik og spedition,2268
35,Terapi og genoptræning,2031
36,Lægesekretær,1989
37,Forskning,1935
38,Kommunikation og journalistik,1930
39,Ledelse inden for ingeniør og teknik,1925
40,Industriel produktion,1878
41,Økonomi- og virksomhedssystemer,1856
42,Øvrige,1845
43,Voksenuddannelse,1737
44,Jura,1722
45,Indkøb,1716
46,Detailledelse,1668
47,Lager,1574
48,IT-ledelse,1515
49,Sekretær og reception,1488
50,Bygge og anlæg,1454
51,"Landbrug, skov og fiskeri",1441
52,Internet og WWW,1360
53,Telemarketing,1357
54,Jern og metal,1313
55,Nærings- og nydelsesmiddel,1267
56,Psykologi og psykiatri,1253
57,Freelancekonsulent,1220
58,Blik og rør,1199
59,Kontorelev,1189
60,Tømrer og snedker,1117
61,Kultur og kirke,1018
62,Ejendomsservice,975
63,Tandlæge og klinikpersonale,909
64,Salgsledelse,869
65,Grafisk,748
66,Ejendomsmægler,710
67,Økonomiledelse,710
68,Sikkerhed,645
69,Oversættelse og sprog,628
70,Frisør og personlig pleje,620
71,Maling og overfladebehandling,533
72,Bibliotek,437
73,Akademisk og politisk arbejde,430
74,Database,419
75,Teknisk sundhedsarbejde,404
76,Design og formgivning,367
77,Forsvar og efterretning,359
78,Topledelse og bestyrelse,306
79,Børnepasning,298
80,Service,275
81,Tele- og datakommunikation,234
82,HR- og ledelseskurser for ledige,204
83,Tekstil og kunsthåndværk,191
84,Træ- og møbelindustri,161
85,Selvstændig virksomhedsdrift,153
86,IT-kurser for ledige,138
87,Salgs- og kommunikationskurser for ledige,109
88,Kontor- og økonomikurser for ledige,108
89,Øvrige kurser for ledige,80
90,Bud og udbringning,69
91,Virksomhedsudvikling,19
