,Navn,Antal
0,Studiejob og fritidsjob,24290
1,Pleje og omsorg,18515
2,Pædagog,15895
3,Økonomi og regnskab,13316
4,Kontor,12411
5,Salg,12362
6,Detailhandel,12124
7,"Hotel, restaurant og køkken",11111
8,Sygeplejerske og jordemoder,10989
9,Systemudvikling og programmering,10758
10,Projektledelse,10414
11,Ledelse,9847
12,Lærer,8312
13,Elevpladser,5932
14,Produktions- og procesteknik,5932
15,Studiepraktik,5906
16,Frivilligt arbejde,5763
17,Bygge- og anlægsteknik,5756
18,Marketing,5726
19,Maskinteknik,5443
20,Finans og forsikring,5437
21,Offentlig administration,5409
22,Rengøring,5375
23,Elektriker,4888
24,Mekanik og auto,4832
25,IT-drift og support,4777
26,Lager,4339
27,Detailledelse,4036
28,Jura,3992
29,Socialrådgivning,3900
30,Øvrige,3741
31,Læge,3699
32,Transport,3598
33,Kemi og bioteknik,3542
34,Elektroteknik,3518
35,Industriel produktion,3485
36,Personale og HR,3367
37,Logistik og spedition,3311
38,Medicinal og levnedsmiddel,3252
39,Terapi og genoptræning,3109
40,Ledelse inden for ingeniør og teknik,3049
41,Kommunikation og journalistik,2961
42,Internet og WWW,2909
43,IT-ledelse,2901
44,Forskning,2811
45,Forsvar og efterretning,2669
46,Økonomi- og virksomhedssystemer,2641
47,Institutions- og skoleledelse,2617
48,Voksenuddannelse,2612
49,Database,2584
50,Indkøb,2435
51,Bygge og anlæg,2419
52,Jern og metal,2413
53,Tømrer og snedker,2222
54,Sekretær og reception,1994
55,Nærings- og nydelsesmiddel,1854
56,"Landbrug, skov og fiskeri",1784
57,Kontorelev,1725
58,Ejendomsservice,1672
59,Oversættelse og sprog,1672
60,Blik og rør,1669
61,Kultur og kirke,1547
62,Akademisk og politisk arbejde,1540
63,Psykologi og psykiatri,1403
64,Tandlæge og klinikpersonale,1402
65,Lægesekretær,1378
66,Sikkerhed,1211
67,Økonomiledelse,1020
68,Grafisk,974
69,Salgsledelse,893
70,Børnepasning,886
71,Telemarketing,853
72,IT-kurser for ledige,832
73,Maling og overfladebehandling,699
74,Ejendomsmægler,685
75,Service,596
76,Freelancekonsulent,550
77,Selvstændig virksomhedsdrift,541
78,Teknisk sundhedsarbejde,512
79,Design og formgivning,465
80,Kontor- og økonomikurser for ledige,463
81,Frisør og personlig pleje,422
82,Tele- og datakommunikation,356
83,Bibliotek,334
84,Træ- og møbelindustri,333
85,Topledelse og bestyrelse,264
86,HR- og ledelseskurser for ledige,244
87,Tekstil og kunsthåndværk,243
88,Salgs- og kommunikationskurser for ledige,204
89,Virksomhedsudvikling,121
90,Øvrige kurser for ledige,76
91,Bud og udbringning,69
