,Navn,Antal
0,Storkøbenhavn,105402
1,Udlandet,56403
2,Region Midtjylland,50326
3,Sydjylland,28026
4,Region Sjælland,24472
5,Region Nordjylland,18858
6,Nordsjælland,17711
7,Fyn,16048
8,Grønland,2357
9,Skåne,1215
10,Bornholm,890
11,Færøerne,82
