,Navn,Antal
0,Øvrige stillinger,38053
1,Kontor og økonomi,33266
2,Social og sundhed,32722
3,Ledelse og personale,27024
4,Handel og service,26564
5,Salg og kommunikation,24688
6,Ingeniør og teknik,21898
7,Undervisning,21496
8,Industri og håndværk,19665
9,Informationsteknologi,16505
