,Navn,Antal
0,Øvrige stillinger,49776
1,Social og sundhed,46550
2,Kontor og økonomi,45836
3,Handel og service,34529
4,Ledelse og personale,34104
5,Undervisning,30643
6,Industri og håndværk,28915
7,Salg og kommunikation,24231
8,Ingeniør og teknik,21111
9,Informationsteknologi,20989
