,Navn,Antal
0,Studiejob og fritidsjob,18547
1,Pædagog,14842
2,Pleje og omsorg,14359
3,Økonomi og regnskab,12660
4,Salg,12276
5,Detailhandel,11017
6,Projektledelse,10907
7,"Hotel, restaurant og køkken",10868
8,Sygeplejerske og jordemoder,10834
9,Kontor,10647
10,Ledelse,10155
11,Systemudvikling og programmering,9425
12,Lærer,8197
13,Frivilligt arbejde,7187
14,Offentlig administration,6080
15,Produktions- og procesteknik,6033
16,Bygge- og anlægsteknik,5990
17,Elevpladser,5399
18,Maskinteknik,5364
19,Finans og forsikring,5187
20,Marketing,5154
21,Rengøring,5030
22,Elektriker,4819
23,IT-drift og support,4634
24,Studiepraktik,4497
25,Socialrådgivning,4090
26,Mekanik og auto,4040
27,Læge,3717
28,Transport,3578
29,Lager,3480
30,Medicinal og levnedsmiddel,3390
31,Elektroteknik,3345
32,Kemi og bioteknik,3331
33,Personale og HR,3311
34,Jura,3222
35,Industriel produktion,3174
36,Logistik og spedition,3129
37,IT-ledelse,2982
38,Kommunikation og journalistik,2867
39,Økonomi- og virksomhedssystemer,2852
40,Forsvar og efterretning,2794
41,Ledelse inden for ingeniør og teknik,2722
42,Forskning,2684
43,Terapi og genoptræning,2579
44,Institutions- og skoleledelse,2464
45,Bygge og anlæg,2414
46,Internet og WWW,2375
47,Øvrige,2202
48,Jern og metal,2186
49,Indkøb,2174
50,Tømrer og snedker,2140
51,Voksenuddannelse,2077
52,Database,1920
53,"Landbrug, skov og fiskeri",1774
54,Sekretær og reception,1741
55,Nærings- og nydelsesmiddel,1718
56,Blik og rør,1691
57,Kontorelev,1675
58,Ejendomsservice,1629
59,Oversættelse og sprog,1611
60,Detailledelse,1509
61,Tandlæge og klinikpersonale,1435
62,Lægesekretær,1421
63,Kultur og kirke,1371
64,Psykologi og psykiatri,1213
65,Ejendomsmægler,1008
66,Sikkerhed,979
67,Økonomiledelse,969
68,Salgsledelse,950
69,Telemarketing,897
70,Grafisk,855
71,IT-kurser for ledige,762
72,Børnepasning,701
73,Maling og overfladebehandling,625
74,Service,505
75,Teknisk sundhedsarbejde,500
76,Frisør og personlig pleje,481
77,Design og formgivning,454
78,Freelancekonsulent,450
79,Kontor- og økonomikurser for ledige,414
80,Træ- og møbelindustri,389
81,Akademisk og politisk arbejde,348
82,Tele- og datakommunikation,315
83,Bibliotek,311
84,Topledelse og bestyrelse,310
85,Tekstil og kunsthåndværk,296
86,Selvstændig virksomhedsdrift,242
87,HR- og ledelseskurser for ledige,189
88,Salgs- og kommunikationskurser for ledige,159
89,Bud og udbringning,70
90,Øvrige kurser for ledige,61
91,Virksomhedsudvikling,4
