,Navn,Antal
0,Studiejob og fritidsjob,32166
1,Pædagog,27194
2,Pleje og omsorg,24844
3,Kontor,17798
4,"Hotel, restaurant og køkken",17475
5,Økonomi og regnskab,17389
6,Sygeplejerske og jordemoder,14878
7,Projektledelse,13857
8,Detailhandel,13812
9,Systemudvikling og programmering,12933
10,Salg,12445
11,Lærer,11052
12,Ledelse,8963
13,Produktions- og procesteknik,8768
14,Maskinteknik,8653
15,Elektriker,8353
16,Akademisk og politisk arbejde,8295
17,Elevpladser,8180
18,Rengøring,8053
19,Mekanik og auto,7821
20,IT-drift og support,7753
21,Detailledelse,7537
22,Industriel produktion,7493
23,Bygge- og anlægsteknik,7457
24,Lager,7297
25,Marketing,6838
26,Finans og forsikring,6710
27,Frivilligt arbejde,5990
28,Forsvar og efterretning,5931
29,Kemi og bioteknik,5886
30,Forskning,5706
31,Database,5343
32,Jura,5235
33,Personale og HR,5143
34,Medicinal og levnedsmiddel,4752
35,Logistik og spedition,4721
36,Elektroteknik,4603
37,Socialrådgivning,4575
38,Transport,4521
39,Bygge og anlæg,4452
40,Læge,4327
41,Kommunikation og journalistik,4184
42,Terapi og genoptræning,4172
43,Jern og metal,4118
44,Offentlig administration,4094
45,IT-ledelse,4051
46,Institutions- og skoleledelse,3880
47,Ledelse inden for ingeniør og teknik,3670
48,Internet og WWW,3640
49,Økonomi- og virksomhedssystemer,3543
50,"Landbrug, skov og fiskeri",3434
51,Studiepraktik,3420
52,Indkøb,3346
53,Ejendomsservice,2901
54,Tømrer og snedker,2881
55,Voksenuddannelse,2779
56,Sekretær og reception,2663
57,Blik og rør,2406
58,Kultur og kirke,2285
59,Kontorelev,2245
60,Nærings- og nydelsesmiddel,2244
61,Psykologi og psykiatri,2229
62,Lægesekretær,1956
63,Tandlæge og klinikpersonale,1864
64,Service,1394
65,Oversættelse og sprog,1381
66,Grafisk,1370
67,Sikkerhed,1238
68,Økonomiledelse,1170
69,Virksomhedsudvikling,987
70,Salgsledelse,984
71,Maling og overfladebehandling,904
72,Børnepasning,784
73,Teknisk sundhedsarbejde,784
74,Telemarketing,592
75,Tele- og datakommunikation,561
76,Ejendomsmægler,515
77,Design og formgivning,495
78,Bibliotek,394
79,Tekstil og kunsthåndværk,379
80,Øvrige,368
81,Frisør og personlig pleje,337
82,Træ- og møbelindustri,320
83,Selvstændig virksomhedsdrift,303
84,Topledelse og bestyrelse,295
85,Bud og udbringning,156
86,Freelancekonsulent,117
87,IT-kurser for ledige,9
88,HR- og ledelseskurser for ledige,7
89,Kontor- og økonomikurser for ledige,4
90,Salgs- og kommunikationskurser for ledige,3
