,Navn,Antal
0,Storkøbenhavn,59462
1,Region Midtjylland,36758
2,Sydjylland,20680
3,Region Sjælland,13768
4,Region Nordjylland,13182
5,Fyn,11088
6,Nordsjælland,10932
7,Udlandet,9090
8,Grønland,1747
9,Bornholm,844
10,Færøerne,64
