,Navn,Antal
0,Studiejob og fritidsjob,17997
1,Pædagog,13321
2,Salg,13222
3,Økonomi og regnskab,12566
4,Pleje og omsorg,12022
5,Detailhandel,11770
6,"Hotel, restaurant og køkken",11206
7,Kontor,11181
8,Projektledelse,10765
9,Sygeplejerske og jordemoder,10662
10,Ledelse,10635
11,Systemudvikling og programmering,9431
12,Lærer,9420
13,Frivilligt arbejde,6623
14,Offentlig administration,5767
15,Bygge- og anlægsteknik,5748
16,Elevpladser,5703
17,Produktions- og procesteknik,5399
18,Finans og forsikring,5220
19,Rengøring,5010
20,Marketing,4978
21,Maskinteknik,4921
22,Elektriker,4668
23,Læge,4597
24,IT-drift og support,4498
25,Mekanik og auto,4200
26,Socialrådgivning,4162
27,Studiepraktik,3960
28,Medicinal og levnedsmiddel,3876
29,Transport,3797
30,Kemi og bioteknik,3548
31,Personale og HR,3278
32,Logistik og spedition,3166
33,Elektroteknik,3124
34,Institutions- og skoleledelse,3059
35,Lager,2911
36,Jura,2815
37,IT-ledelse,2757
38,Terapi og genoptræning,2702
39,Industriel produktion,2660
40,Økonomi- og virksomhedssystemer,2571
41,Kommunikation og journalistik,2558
42,Forskning,2437
43,Forsvar og efterretning,2436
44,Bygge og anlæg,2393
45,Ledelse inden for ingeniør og teknik,2257
46,Indkøb,2189
47,Detailledelse,2121
48,Voksenuddannelse,2117
49,Øvrige,2110
50,Tømrer og snedker,2092
51,Internet og WWW,1920
52,Nærings- og nydelsesmiddel,1907
53,Sekretær og reception,1864
54,Kontorelev,1723
55,"Landbrug, skov og fiskeri",1713
56,Jern og metal,1697
57,Blik og rør,1649
58,Lægesekretær,1600
59,Ejendomsservice,1498
60,Kultur og kirke,1477
61,Tandlæge og klinikpersonale,1371
62,Psykologi og psykiatri,1337
63,Telemarketing,1308
64,Oversættelse og sprog,1168
65,Ejendomsmægler,1122
66,Database,1113
67,Sikkerhed,997
68,Salgsledelse,898
69,Grafisk,853
70,Freelancekonsulent,816
71,Økonomiledelse,759
72,Børnepasning,732
73,Frisør og personlig pleje,696
74,Maling og overfladebehandling,672
75,Service,515
76,Teknisk sundhedsarbejde,508
77,IT-kurser for ledige,484
78,Akademisk og politisk arbejde,447
79,Design og formgivning,426
80,Træ- og møbelindustri,411
81,Tele- og datakommunikation,361
82,Bibliotek,340
83,Kontor- og økonomikurser for ledige,331
84,Topledelse og bestyrelse,313
85,Tekstil og kunsthåndværk,217
86,Selvstændig virksomhedsdrift,206
87,HR- og ledelseskurser for ledige,110
88,Salgs- og kommunikationskurser for ledige,99
89,Øvrige kurser for ledige,89
90,Bud og udbringning,82
91,Virksomhedsudvikling,67
