,Navn,Antal
0,Storkøbenhavn,105139
1,Region Midtjylland,56287
2,Sydjylland,29716
3,Region Sjælland,26559
4,Region Nordjylland,21691
5,Nordsjælland,19880
6,Fyn,17121
7,Udlandet,10446
8,Grønland,2280
9,Bornholm,1196
10,Skåne,193
11,Færøerne,104
