,Navn,Antal
0,Storkøbenhavn,77968
1,Region Midtjylland,40680
2,Sydjylland,21900
3,Region Sjælland,18864
4,Udlandet,16948
5,Region Nordjylland,14937
6,Nordsjælland,14882
7,Fyn,12878
8,Grønland,2286
9,Bornholm,925
10,Skåne,317
11,Færøerne,58
