,Navn,Antal
0,Studiejob og fritidsjob,22195
1,Pædagog,19583
2,Pleje og omsorg,19122
3,Sygeplejerske og jordemoder,12440
4,Økonomi og regnskab,12345
5,Systemudvikling og programmering,11005
6,Kontor,9877
7,Salg,9704
8,Detailhandel,8995
9,Projektledelse,8829
10,Lærer,8390
11,"Hotel, restaurant og køkken",7996
12,Frivilligt arbejde,7288
13,Ledelse,6488
14,Elevpladser,6310
15,Bygge- og anlægsteknik,5232
16,Marketing,5213
17,Produktions- og procesteknik,5044
18,Rengøring,4956
19,IT-drift og support,4855
20,Detailledelse,4590
21,Finans og forsikring,4555
22,Forskning,4516
23,Forsvar og efterretning,4509
24,Maskinteknik,4495
25,Socialrådgivning,4393
26,Elektriker,4380
27,Kemi og bioteknik,4164
28,Bygge og anlæg,3928
29,Læge,3922
30,Jura,3920
31,Akademisk og politisk arbejde,3906
32,Studiepraktik,3793
33,Lager,3593
34,Offentlig administration,3504
35,Medicinal og levnedsmiddel,3502
36,Mekanik og auto,3461
37,Personale og HR,3149
38,IT-ledelse,3035
39,Terapi og genoptræning,3029
40,Institutions- og skoleledelse,2998
41,Database,2950
42,Tømrer og snedker,2859
43,Elektroteknik,2827
44,Internet og WWW,2818
45,Kommunikation og journalistik,2789
46,Transport,2689
47,Industriel produktion,2676
48,Logistik og spedition,2583
49,Ledelse inden for ingeniør og teknik,2515
50,"Landbrug, skov og fiskeri",2469
51,Økonomi- og virksomhedssystemer,2432
52,Voksenuddannelse,2051
53,Indkøb,1893
54,Lægesekretær,1888
55,Ejendomsservice,1792
56,Jern og metal,1766
57,Psykologi og psykiatri,1711
58,Kontorelev,1623
59,Blik og rør,1520
60,Kultur og kirke,1519
61,Sekretær og reception,1498
62,Tandlæge og klinikpersonale,1435
63,Nærings- og nydelsesmiddel,1429
64,Oversættelse og sprog,1252
65,Selvstændig virksomhedsdrift,1102
66,Grafisk,987
67,Økonomiledelse,908
68,Maling og overfladebehandling,835
69,Børnepasning,788
70,Salgsledelse,761
71,Ejendomsmægler,754
72,Sikkerhed,671
73,Service,639
74,IT-kurser for ledige,630
75,Teknisk sundhedsarbejde,592
76,Telemarketing,588
77,Virksomhedsudvikling,449
78,Tele- og datakommunikation,375
79,Bibliotek,353
80,Design og formgivning,324
81,Frisør og personlig pleje,321
82,Topledelse og bestyrelse,276
83,Træ- og møbelindustri,269
84,Kontor- og økonomikurser for ledige,253
85,Øvrige,247
86,Tekstil og kunsthåndværk,202
87,HR- og ledelseskurser for ledige,184
88,Freelancekonsulent,145
89,Salgs- og kommunikationskurser for ledige,126
90,Bud og udbringning,85
91,Øvrige kurser for ledige,50
