,Navn,Antal
0,Pædagog,22012
1,Studiejob og fritidsjob,19461
2,Økonomi og regnskab,17714
3,Detailhandel,17416
4,Pleje og omsorg,15005
5,Kontor,14734
6,"Hotel, restaurant og køkken",13982
7,Salg,13933
8,Sygeplejerske og jordemoder,10858
9,Ledelse,9541
10,Rengøring,9462
11,Lærer,7615
12,Systemudvikling og programmering,7380
13,Elektriker,6154
14,Projektledelse,6073
15,Elevpladser,5792
16,Maskinteknik,5731
17,Lager,5447
18,Bygge- og anlægsteknik,5383
19,Transport,5332
20,Finans og forsikring,5245
21,IT-drift og support,5055
22,Sekretær og reception,4619
23,Industriel produktion,4590
24,Læge,4329
25,Socialrådgivning,3920
26,Institutions- og skoleledelse,3821
27,Kemi og bioteknik,3746
28,Lægesekretær,3714
29,Mekanik og auto,3674
30,Produktions- og procesteknik,3598
31,Marketing,3377
32,Personale og HR,3261
33,Offentlig administration,3095
34,Elektroteknik,2931
35,Jern og metal,2904
36,Terapi og genoptræning,2857
37,Detailledelse,2728
38,Logistik og spedition,2714
39,Øvrige,2385
40,Bygge og anlæg,2338
41,Økonomi- og virksomhedssystemer,2206
42,Indkøb,2151
43,Medicinal og levnedsmiddel,2143
44,Tømrer og snedker,2133
45,Jura,2008
46,Nærings- og nydelsesmiddel,1906
47,Blik og rør,1889
48,Ledelse inden for ingeniør og teknik,1728
49,Ejendomsservice,1720
50,Kommunikation og journalistik,1703
51,"Landbrug, skov og fiskeri",1673
52,Voksenuddannelse,1455
53,Økonomiledelse,1391
54,Forskning,1296
55,Børnepasning,1121
56,Internet og WWW,1108
57,Maling og overfladebehandling,1084
58,Kontorelev,1079
59,IT-ledelse,1053
60,Tandlæge og klinikpersonale,1053
61,Salgsledelse,1013
62,Grafisk,1001
63,Telemarketing,989
64,Psykologi og psykiatri,981
65,Frisør og personlig pleje,905
66,Kultur og kirke,892
67,Sikkerhed,780
68,Studiepraktik,739
69,Oversættelse og sprog,654
70,Frivilligt arbejde,626
71,Service,614
72,Freelancekonsulent,587
73,Bibliotek,512
74,Bud og udbringning,485
75,Ejendomsmægler,484
76,Teknisk sundhedsarbejde,479
77,Database,433
78,Design og formgivning,410
79,Tele- og datakommunikation,393
80,Akademisk og politisk arbejde,384
81,Topledelse og bestyrelse,343
82,Tekstil og kunsthåndværk,306
83,Selvstændig virksomhedsdrift,173
84,Træ- og møbelindustri,156
85,Forsvar og efterretning,115
86,Øvrige kurser for ledige,12
87,IT-kurser for ledige,8
88,Virksomhedsudvikling,5
89,Salgs- og kommunikationskurser for ledige,3
90,HR- og ledelseskurser for ledige,2
91,Kontor- og økonomikurser for ledige,2
