,Navn,Antal
0,Storkøbenhavn,70706
1,Region Midtjylland,36627
2,Sydjylland,21649
3,Region Sjælland,15339
4,Udlandet,13093
5,Region Nordjylland,12997
6,Nordsjælland,12430
7,Fyn,11865
8,Grønland,1965
9,Bornholm,970
10,Skåne,235
11,Færøerne,42
