,Navn,Antal
0,Storkøbenhavn,116333
1,Region Midtjylland,58239
2,Sydjylland,30890
3,Region Sjælland,27348
4,Nordsjælland,23381
5,Region Nordjylland,21820
6,Fyn,19084
7,Udlandet,7970
8,Grønland,2639
9,Bornholm,1115
10,Færøerne,86
11,Skåne,86
