,Navn,Antal
0,Storkøbenhavn,129320
1,Region Midtjylland,80712
2,Sydjylland,53644
3,Region Sjælland,38165
4,Region Nordjylland,26733
5,Nordsjælland,26699
6,Fyn,25379
7,Udlandet,8988
8,Grønland,2562
9,Bornholm,1864
10,Færøerne,79
