,Navn,Antal
0,Kontor og økonomi,66053
1,Handel og service,60209
2,Industri og håndværk,55956
3,Social og sundhed,51512
4,Undervisning,38965
5,Øvrige stillinger,36386
6,Ledelse og personale,34448
7,Ingeniør og teknik,29356
8,Salg og kommunikation,28461
9,Informationsteknologi,17084
