,Navn,Antal
0,Studiejob og fritidsjob,18161
1,Salg,12090
2,Økonomi og regnskab,9483
3,"Hotel, restaurant og køkken",8669
4,Pædagog,8042
5,Detailhandel,7810
6,Ledelse,6708
7,Kontor,6593
8,Studiepraktik,6511
9,Systemudvikling og programmering,6014
10,Projektledelse,5784
11,Maskinteknik,5686
12,Sygeplejerske og jordemoder,5416
13,Pleje og omsorg,5116
14,Elevpladser,4903
15,Læge,4819
16,Rengøring,4143
17,Bygge- og anlægsteknik,3733
18,Lærer,3556
19,Kemi og bioteknik,3510
20,Produktions- og procesteknik,3293
21,Finans og forsikring,3224
22,Marketing,3047
23,IT-drift og support,2959
24,Elektroteknik,2636
25,Frivilligt arbejde,2571
26,Elektriker,2250
27,Transport,2239
28,Mekanik og auto,2178
29,Personale og HR,2118
30,Socialrådgivning,2106
31,Logistik og spedition,2103
32,Offentlig administration,2043
33,Øvrige,1958
34,Økonomi- og virksomhedssystemer,1921
35,Sekretær og reception,1780
36,Indkøb,1752
37,Medicinal og levnedsmiddel,1746
38,Ledelse inden for ingeniør og teknik,1723
39,Lager,1642
40,Industriel produktion,1619
41,Bygge og anlæg,1590
42,Lægesekretær,1590
43,Jura,1572
44,Kommunikation og journalistik,1541
45,Institutions- og skoleledelse,1511
46,Terapi og genoptræning,1438
47,Telemarketing,1432
48,Detailledelse,1336
49,Blik og rør,1271
50,Forskning,1231
51,"Landbrug, skov og fiskeri",1166
52,Tømrer og snedker,1137
53,IT-ledelse,1120
54,Kontorelev,1096
55,Nærings- og nydelsesmiddel,1093
56,Voksenuddannelse,1078
57,Internet og WWW,1058
58,Jern og metal,973
59,Salgsledelse,934
60,Ejendomsservice,877
61,Psykologi og psykiatri,844
62,Økonomiledelse,743
63,Kultur og kirke,702
64,Grafisk,674
65,Freelancekonsulent,629
66,Tandlæge og klinikpersonale,578
67,Frisør og personlig pleje,537
68,Ejendomsmægler,518
69,Maling og overfladebehandling,507
70,Sikkerhed,498
71,Oversættelse og sprog,355
72,Bibliotek,349
73,Børnepasning,343
74,Teknisk sundhedsarbejde,335
75,Database,318
76,Design og formgivning,293
77,Topledelse og bestyrelse,290
78,Tele- og datakommunikation,264
79,Service,255
80,Tekstil og kunsthåndværk,228
81,Akademisk og politisk arbejde,174
82,Selvstændig virksomhedsdrift,128
83,Træ- og møbelindustri,116
84,Forsvar og efterretning,100
85,Bud og udbringning,47
86,Virksomhedsudvikling,5
87,Salgs- og kommunikationskurser for ledige,3
88,HR- og ledelseskurser for ledige,3
89,Kontor- og økonomikurser for ledige,2
90,Ingeniør og teknik (nedlagt),1
91,Øvrige kurser for ledige,1
92,IT-kurser for ledige,1
