,Navn,Antal
0,Kontor og økonomi,48835
1,Øvrige stillinger,45903
2,Social og sundhed,41590
3,Ledelse og personale,40723
4,Salg og kommunikation,38119
5,Undervisning,36793
6,Handel og service,29162
7,Ingeniør og teknik,25307
8,Industri og håndværk,24851
9,Informationsteknologi,21100
