,Navn,Antal
0,Studiejob og fritidsjob,23936
1,Salg,18087
2,Lærer,16579
3,Økonomi og regnskab,13710
4,Kontor,12544
5,Pædagog,12224
6,Projektledelse,11893
7,Marketing,11000
8,Ledelse,10890
9,Pleje og omsorg,10606
10,Systemudvikling og programmering,10573
11,Sygeplejerske og jordemoder,10073
12,"Hotel, restaurant og køkken",10028
13,Detailhandel,9663
14,Personale og HR,6701
15,Studiepraktik,6554
16,Frivilligt arbejde,6128
17,Produktions- og procesteknik,5462
18,Maskinteknik,5403
19,Offentlig administration,5231
20,Bygge- og anlægsteknik,5227
21,Læge,5201
22,Finans og forsikring,5152
23,Kemi og bioteknik,4893
24,Medicinal og levnedsmiddel,4668
25,Elevpladser,4615
26,Socialrådgivning,4508
27,IT-drift og support,4499
28,Rengøring,4475
29,Kommunikation og journalistik,3975
30,Elektriker,3826
31,Forskning,3744
32,Transport,3523
33,Ledelse inden for ingeniør og teknik,3373
34,Mekanik og auto,3360
35,Elektroteknik,3128
36,Sekretær og reception,2875
37,Logistik og spedition,2815
38,Institutions- og skoleledelse,2730
39,Jura,2712
40,Økonomi- og virksomhedssystemer,2687
41,IT-ledelse,2617
42,Terapi og genoptræning,2393
43,Industriel produktion,2339
44,Internet og WWW,2338
45,Lager,2315
46,Øvrige,2256
47,Indkøb,2234
48,Voksenuddannelse,2188
49,Detailledelse,2033
50,Bygge og anlæg,1869
51,Tømrer og snedker,1850
52,Nærings- og nydelsesmiddel,1843
53,Forsvar og efterretning,1596
54,Blik og rør,1594
55,Lægesekretær,1570
56,Psykologi og psykiatri,1531
57,Jern og metal,1528
58,"Landbrug, skov og fiskeri",1464
59,Kontorelev,1354
60,Telemarketing,1343
61,Ejendomsservice,1260
62,Kultur og kirke,1258
63,Grafisk,1151
64,Tandlæge og klinikpersonale,1134
65,Oversættelse og sprog,1041
66,Ejendomsmægler,992
67,Salgsledelse,947
68,Økonomiledelse,922
69,Database,884
70,Sikkerhed,877
71,Maling og overfladebehandling,803
72,Freelancekonsulent,708
73,Akademisk og politisk arbejde,647
74,Frisør og personlig pleje,581
75,Børnepasning,500
76,Teknisk sundhedsarbejde,455
77,Bibliotek,446
78,Design og formgivning,437
79,Træ- og møbelindustri,385
80,Service,355
81,Topledelse og bestyrelse,321
82,Kontor- og økonomikurser for ledige,285
83,IT-kurser for ledige,270
84,Tele- og datakommunikation,268
85,Tekstil og kunsthåndværk,266
86,Selvstændig virksomhedsdrift,162
87,Øvrige kurser for ledige,112
88,Bud og udbringning,100
89,HR- og ledelseskurser for ledige,95
90,Salgs- og kommunikationskurser for ledige,75
91,Virksomhedsudvikling,25
