,Navn,Antal
0,Studiejob og fritidsjob,25959
1,Pleje og omsorg,18519
2,Pædagog,16299
3,Økonomi og regnskab,13022
4,Salg,11633
5,"Hotel, restaurant og køkken",11224
6,Kontor,11184
7,Sygeplejerske og jordemoder,10721
8,Systemudvikling og programmering,10577
9,Detailhandel,10097
10,Projektledelse,9756
11,Lærer,7568
12,Ledelse,6936
13,Studiepraktik,6238
14,Elevpladser,6097
15,Finans og forsikring,5871
16,Marketing,5588
17,Produktions- og procesteknik,5452
18,Rengøring,5213
19,Maskinteknik,5183
20,Bygge- og anlægsteknik,5106
21,Frivilligt arbejde,4988
22,Detailledelse,4863
23,IT-drift og support,4710
24,Elektriker,4677
25,Mekanik og auto,4189
26,Forsvar og efterretning,4163
27,Socialrådgivning,3801
28,Jura,3780
29,Lager,3765
30,Læge,3640
31,Offentlig administration,3575
32,Kemi og bioteknik,3477
33,Personale og HR,3333
34,Medicinal og levnedsmiddel,3304
35,Industriel produktion,3301
36,Forskning,3278
37,Elektroteknik,3244
38,IT-ledelse,3173
39,Akademisk og politisk arbejde,3110
40,Logistik og spedition,3085
41,Terapi og genoptræning,3072
42,Transport,3041
43,Kommunikation og journalistik,2910
44,Internet og WWW,2892
45,Institutions- og skoleledelse,2789
46,Database,2772
47,Ledelse inden for ingeniør og teknik,2763
48,Bygge og anlæg,2723
49,Økonomi- og virksomhedssystemer,2609
50,Jern og metal,2285
51,Voksenuddannelse,2267
52,Tømrer og snedker,2184
53,Indkøb,2090
54,Sekretær og reception,2011
55,"Landbrug, skov og fiskeri",1999
56,Ejendomsservice,1756
57,Kontorelev,1712
58,Oversættelse og sprog,1651
59,Nærings- og nydelsesmiddel,1626
60,Blik og rør,1587
61,Kultur og kirke,1526
62,Lægesekretær,1496
63,Psykologi og psykiatri,1434
64,Tandlæge og klinikpersonale,1390
65,Grafisk,967
66,Økonomiledelse,939
67,Salgsledelse,860
68,IT-kurser for ledige,859
69,Øvrige,804
70,Sikkerhed,765
71,Telemarketing,756
72,Børnepasning,715
73,Service,712
74,Maling og overfladebehandling,675
75,Ejendomsmægler,622
76,Selvstændig virksomhedsdrift,577
77,Virksomhedsudvikling,575
78,Teknisk sundhedsarbejde,502
79,Kontor- og økonomikurser for ledige,399
80,Tele- og datakommunikation,386
81,Design og formgivning,385
82,Frisør og personlig pleje,384
83,Bibliotek,370
84,HR- og ledelseskurser for ledige,294
85,Freelancekonsulent,284
86,Salgs- og kommunikationskurser for ledige,274
87,Træ- og møbelindustri,258
88,Topledelse og bestyrelse,253
89,Tekstil og kunsthåndværk,232
90,Øvrige kurser for ledige,68
91,Bud og udbringning,62
