,Navn,Antal
0,Social og sundhed,63716
1,Kontor og økonomi,60547
2,Øvrige stillinger,58701
3,Handel og service,50291
4,Undervisning,45714
5,Industri og håndværk,44943
6,Ledelse og personale,44072
7,Ingeniør og teknik,29345
8,Salg og kommunikation,28931
9,Informationsteknologi,25562
