,Navn,Antal
0,Studiejob og fritidsjob,24172
1,Salg,15406
2,Pædagog,10753
3,Økonomi og regnskab,10440
4,"Hotel, restaurant og køkken",9194
5,Sygeplejerske og jordemoder,8671
6,Detailhandel,8649
7,Systemudvikling og programmering,8371
8,Kontor,8156
9,Ledelse,7882
10,Pleje og omsorg,7359
11,Projektledelse,7264
12,Maskinteknik,6328
13,Lærer,6134
14,Elevpladser,5254
15,Læge,4964
16,Bygge- og anlægsteknik,4871
17,Rengøring,4437
18,IT-drift og support,4185
19,Kemi og bioteknik,3710
20,Produktions- og procesteknik,3633
21,Elektriker,3377
22,Frivilligt arbejde,3167
23,Marketing,3135
24,Offentlig administration,3014
25,Finans og forsikring,2877
26,Elektroteknik,2863
27,Socialrådgivning,2852
28,Medicinal og levnedsmiddel,2521
29,Transport,2515
30,Personale og HR,2415
31,Mekanik og auto,2372
32,Øvrige,2255
33,Logistik og spedition,2203
34,Institutions- og skoleledelse,2198
35,Ledelse inden for ingeniør og teknik,2051
36,Studiepraktik,2046
37,Kommunikation og journalistik,2015
38,Terapi og genoptræning,1983
39,Lægesekretær,1968
40,Økonomi- og virksomhedssystemer,1967
41,Lager,1907
42,Industriel produktion,1853
43,Sekretær og reception,1791
44,Indkøb,1757
45,Detailledelse,1707
46,Jura,1596
47,Voksenuddannelse,1523
48,IT-ledelse,1387
49,Bygge og anlæg,1353
50,Telemarketing,1336
51,"Landbrug, skov og fiskeri",1303
52,Tømrer og snedker,1250
53,Freelancekonsulent,1246
54,Jern og metal,1225
55,Blik og rør,1180
56,Nærings- og nydelsesmiddel,1163
57,Internet og WWW,1143
58,Psykologi og psykiatri,1136
59,Kontorelev,1103
60,Forskning,1059
61,Kultur og kirke,996
62,Ejendomsservice,983
63,Tandlæge og klinikpersonale,966
64,Salgsledelse,934
65,Økonomiledelse,866
66,Grafisk,773
67,Sikkerhed,626
68,Frisør og personlig pleje,618
69,Maling og overfladebehandling,616
70,Ejendomsmægler,483
71,Oversættelse og sprog,443
72,Bibliotek,426
73,Forsvar og efterretning,423
74,Børnepasning,361
75,Teknisk sundhedsarbejde,360
76,Topledelse og bestyrelse,357
77,Tekstil og kunsthåndværk,344
78,Database,338
79,Design og formgivning,327
80,Akademisk og politisk arbejde,297
81,Tele- og datakommunikation,275
82,Service,251
83,Selvstændig virksomhedsdrift,244
84,Træ- og møbelindustri,147
85,Bud og udbringning,118
86,Virksomhedsudvikling,44
87,IT-kurser for ledige,1
88,HR- og ledelseskurser for ledige,1
