,Navn,Antal
0,Øvrige stillinger,40610
1,Social og sundhed,40460
2,Kontor og økonomi,38866
3,Ledelse og personale,30592
4,Undervisning,29782
5,Handel og service,26189
6,Salg og kommunikation,24634
7,Ingeniør og teknik,21859
8,Industri og håndværk,21211
9,Informationsteknologi,16706
