,Navn,Antal
0,Pædagog,14476
1,Studiejob og fritidsjob,13164
2,Pleje og omsorg,8798
3,"Hotel, restaurant og køkken",8580
4,Detailhandel,8419
5,Økonomi og regnskab,8352
6,Sygeplejerske og jordemoder,7681
7,Salg,7382
8,Kontor,6207
9,Ledelse,5887
10,Rengøring,5350
11,Lærer,5108
12,Læge,3875
13,Socialrådgivning,3289
14,Elevpladser,3194
15,Systemudvikling og programmering,3187
16,Projektledelse,3064
17,Institutions- og skoleledelse,2847
18,Kemi og bioteknik,2292
19,Lægesekretær,2243
20,IT-drift og support,2164
21,Maskinteknik,2158
22,Sekretær og reception,2107
23,Bygge- og anlægsteknik,2011
24,Offentlig administration,1946
25,Terapi og genoptræning,1886
26,Finans og forsikring,1815
27,Personale og HR,1588
28,Marketing,1581
29,Jura,1511
30,Produktions- og procesteknik,1511
31,Transport,1484
32,Elektriker,1424
33,Medicinal og levnedsmiddel,1367
34,Voksenuddannelse,1356
35,Øvrige,1297
36,Detailledelse,1227
37,Lager,1213
38,Studiepraktik,1146
39,Nærings- og nydelsesmiddel,1143
40,"Landbrug, skov og fiskeri",1103
41,Elektroteknik,1089
42,Forskning,1077
43,Mekanik og auto,1060
44,Kommunikation og journalistik,1032
45,Økonomi- og virksomhedssystemer,1022
46,Ledelse inden for ingeniør og teknik,1006
47,Logistik og spedition,898
48,Ejendomsservice,861
49,Frivilligt arbejde,856
50,Indkøb,823
51,Telemarketing,797
52,Kontorelev,791
53,Økonomiledelse,762
54,Tandlæge og klinikpersonale,748
55,Kultur og kirke,743
56,Bygge og anlæg,742
57,Industriel produktion,733
58,Børnepasning,678
59,Psykologi og psykiatri,677
60,Internet og WWW,628
61,Tømrer og snedker,585
62,Salgsledelse,583
63,Frisør og personlig pleje,571
64,Blik og rør,541
65,IT-ledelse,540
66,Grafisk,460
67,Jern og metal,435
68,Sikkerhed,427
69,Freelancekonsulent,381
70,Bibliotek,374
71,Maling og overfladebehandling,371
72,Oversættelse og sprog,338
73,Teknisk sundhedsarbejde,329
74,Ejendomsmægler,318
75,Topledelse og bestyrelse,274
76,Akademisk og politisk arbejde,257
77,Service,246
78,Database,198
79,Design og formgivning,198
80,Tekstil og kunsthåndværk,159
81,Selvstændig virksomhedsdrift,146
82,Tele- og datakommunikation,133
83,Bud og udbringning,54
84,Forsvar og efterretning,50
85,Træ- og møbelindustri,37
86,Øvrige kurser for ledige,5
87,Ingeniør og teknik (nedlagt),2
88,IT-kurser for ledige,2
89,Salgs- og kommunikationskurser for ledige,2
90,Virksomhedsudvikling,2
91,HR- og ledelseskurser for ledige,1
92,Kontor- og økonomikurser for ledige,1
