,Navn,Antal
0,Studiejob og fritidsjob,30880
1,Pleje og omsorg,26635
2,Pædagog,26128
3,Økonomi og regnskab,16599
4,"Hotel, restaurant og køkken",16022
5,Kontor,15743
6,Sygeplejerske og jordemoder,15399
7,Detailhandel,14729
8,Salg,13094
9,Systemudvikling og programmering,13037
10,Projektledelse,12801
11,Lærer,10737
12,Frivilligt arbejde,9613
13,Ledelse,8717
14,Elevpladser,8258
15,Produktions- og procesteknik,7784
16,Rengøring,7769
17,Maskinteknik,7703
18,Bygge- og anlægsteknik,7675
19,Lager,7675
20,Detailledelse,7639
21,Marketing,7387
22,Finans og forsikring,7160
23,IT-drift og support,6936
24,Akademisk og politisk arbejde,6647
25,Elektriker,6502
26,Mekanik og auto,6262
27,Industriel produktion,6153
28,Kemi og bioteknik,5361
29,Jura,5234
30,Forskning,5110
31,Database,4945
32,Forsvar og efterretning,4710
33,Socialrådgivning,4674
34,Personale og HR,4673
35,Logistik og spedition,4609
36,Terapi og genoptræning,4572
37,Internet og WWW,4473
38,Transport,4433
39,Bygge og anlæg,4423
40,Kommunikation og journalistik,4355
41,Elektroteknik,4319
42,Læge,4233
43,IT-ledelse,4171
44,Medicinal og levnedsmiddel,4146
45,Offentlig administration,3825
46,Ledelse inden for ingeniør og teknik,3669
47,Økonomi- og virksomhedssystemer,3470
48,Jern og metal,3429
49,Institutions- og skoleledelse,3358
50,Indkøb,3218
51,"Landbrug, skov og fiskeri",3165
52,Tømrer og snedker,3061
53,Voksenuddannelse,2907
54,Studiepraktik,2876
55,Nærings- og nydelsesmiddel,2492
56,Ejendomsservice,2356
57,Kontorelev,2348
58,Sekretær og reception,2273
59,Psykologi og psykiatri,2197
60,Lægesekretær,2171
61,Tandlæge og klinikpersonale,2036
62,Blik og rør,1996
63,Kultur og kirke,1894
64,Oversættelse og sprog,1682
65,Grafisk,1472
66,Økonomiledelse,1104
67,Service,1099
68,Sikkerhed,1026
69,Salgsledelse,936
70,Maling og overfladebehandling,879
71,Børnepasning,868
72,Virksomhedsudvikling,848
73,Ejendomsmægler,785
74,Teknisk sundhedsarbejde,781
75,Telemarketing,763
76,Selvstændig virksomhedsdrift,630
77,Tele- og datakommunikation,547
78,Design og formgivning,488
79,Træ- og møbelindustri,475
80,Øvrige,433
81,Bibliotek,381
82,Tekstil og kunsthåndværk,380
83,Frisør og personlig pleje,368
84,Topledelse og bestyrelse,268
85,Bud og udbringning,226
86,Freelancekonsulent,188
87,Kontor- og økonomikurser for ledige,5
88,IT-kurser for ledige,3
89,HR- og ledelseskurser for ledige,3
90,Salgs- og kommunikationskurser for ledige,2
91,Øvrige kurser for ledige,1
