,År,Antal
0,2007,1864
1,2008,1492
2,2009,928
3,2010,844
4,2011,970
5,2012,901
6,2013,925
7,2014,840
8,2015,890
9,2016,1196
10,2017,1277
11,2018,1115
12,2019,1178
13,2020,1160
14,2021,1982
15,2022,1816
