,År,Antal
0,2007,8988
1,2008,7978
2,2009,6040
3,2010,9090
4,2011,13093
5,2012,28976
6,2013,16948
7,2014,17831
8,2015,56403
9,2016,10446
10,2017,9277
11,2018,7970
12,2019,9597
13,2020,7667
14,2021,9678
15,2022,11427
