,År,Antal
0,2007,129320
1,2008,105074
2,2009,56124
3,2010,59462
4,2011,70706
5,2012,74243
6,2013,77968
7,2014,100016
8,2015,105402
9,2016,105139
10,2017,104161
11,2018,116333
12,2019,110233
13,2020,102882
14,2021,132015
15,2022,137673
