,År,Antal
0,2007,26699
1,2008,23356
2,2009,11866
3,2010,10932
4,2011,12430
5,2012,13364
6,2013,14882
7,2014,17000
8,2015,17711
9,2016,19880
10,2017,19763
11,2018,23381
12,2019,22624
13,2020,22905
14,2021,30702
15,2022,32300
