,År,Antal
0,2007,0
1,2008,0
2,2009,0
3,2010,0
4,2011,235
5,2012,7638
6,2013,317
7,2014,223
8,2015,1215
9,2016,193
10,2017,243
11,2018,86
12,2019,74
13,2020,45
14,2021,53
15,2022,97
