,År,Antal
0,2007,2562
1,2008,2408
2,2009,2020
3,2010,1747
4,2011,1965
5,2012,2407
6,2013,2286
7,2014,2528
8,2015,2357
9,2016,2280
10,2017,2722
11,2018,2639
12,2019,3039
13,2020,2841
14,2021,2776
15,2022,2946
