,År,Antal
0,2007,38165
1,2008,32957
2,2009,16942
3,2010,13768
4,2011,15339
5,2012,17621
6,2013,18864
7,2014,23834
8,2015,24472
9,2016,26559
10,2017,26032
11,2018,27348
12,2019,28032
13,2020,28365
14,2021,39739
15,2022,39451
