,År,Antal
0,2007,26733
1,2008,23530
2,2009,12963
3,2010,13182
4,2011,12997
5,2012,15054
6,2013,14937
7,2014,17052
8,2015,18858
9,2016,21691
10,2017,19861
11,2018,21820
12,2019,20850
13,2020,20196
14,2021,28208
15,2022,29705
