,År,Antal
0,2007,25379
1,2008,20723
2,2009,12146
3,2010,11088
4,2011,11865
5,2012,12668
6,2013,12878
7,2014,16071
8,2015,16048
9,2016,17121
10,2017,17972
11,2018,19084
12,2019,18941
13,2020,19492
14,2021,26316
15,2022,27063
