,År,Antal
0,2007,80712
1,2008,66758
2,2009,35365
3,2010,36758
4,2011,36627
5,2012,38806
6,2013,40680
7,2014,46927
8,2015,50326
9,2016,56287
10,2017,56936
11,2018,58239
12,2019,57219
13,2020,58884
14,2021,83541
15,2022,84033
