,År,Antal
0,2007,53644
1,2008,40628
2,2009,19401
3,2010,20680
4,2011,21649
5,2012,21918
6,2013,21900
7,2014,26307
8,2015,28026
9,2016,29716
10,2017,30181
11,2018,30890
12,2019,30221
13,2020,30753
14,2021,44992
15,2022,46672
